"id","person_name","work"
389,"Abdalla Kablan","University of Malta - Lecturer and Researcher in Computational Finances"
390,"Abdalla Kablan","Malta Stock Exchange - Director - Member of the Board of Directors"
391,"Abdalla Kablan","Caledo - Founding Partner"
392,"Abdalla Kablan","Wyzer - Managing Partner"
393,"Abdalla Kablan","DELTA Summit - Executive Chairman"
394,"Josh Rager","RedBrick Health - Lead - Live Services"
395,"Josh Rager","Virgin Pulse - Lead - Live Services"
396,"Josh Rager","Glassnode -Trader Advisory Board"
397,"Josh Rager","Level - Senior Advisor"
398,"Josh Rager","BlockRoots - Co-Founder"
399,"Gavin Wood","Grid Singularity - Co-Founder"
400,"Gavin Wood","Web3 Foundation - President and Founder"
401,"Gavin Wood","Parity Technologies -Founder / Lead Developer"
402,"Hester Peirce","U.S. SEC - Commissioner"
403,"Jesus Rodriguez","Mobiquity -Inc. - Member of the Advisory Board"
404,"Jesus Rodriguez","Electric Cloud - Member of the Advisory Board"
405,"Jesus Rodriguez","Ship.io - Member of the Advisory Board"
406,"Jesus Rodriguez","CIO Online - Author -Contributor"
407,"Jesus Rodriguez","Invector Labs - Chief Scientist -Managing Partner"
408,"Jesus Rodriguez","IntoTheBlock -CEO-CTO"
409,"W. Scott Stornetta","Morristown High School - AP Calculus / AP Computer Science Teacher"
410,"W. Scott Stornetta","Yugen Partners - Chief Scientist"
411,"J. Christopher Giancarlo","U.S. CFTC - Former Chairman"
412,"Arry Yu","tZERO -Investor"
413,"Arry Yu","Galvanize Inc - Advisor/Mentor"
414,"Arry Yu","Korean American Coalition - Washington - Board Member"
415,"Arry Yu","Tenta Browser -Investor"
416,"Arry Yu","STOW IT - Investor"
417,"Arry Yu","Yellow Umbrella Ventures - Managing Director"
418,"Arry Yu","WTIA Cascadia Blockchain Council -Chair"
419,"Joe Roets","Dragonchain -Chief Architect -Founder & CEO"
420,"Carlos Domingo","THCAP - Venture Partner"
421,"Carlos Domingo","Sling Ventures - Founder"
422,"Carlos Domingo","Albora Technologies - Investor & Board Member"
423,"Carlos Domingo","Spice VC - Co-Founder & Managing Partner"
424,"Carlos Domingo","Securitize -CEO & Founder"
425,"Dan Tapiero","DTAP Capital - Co-Founder"
426,"Lili Zhao","Neo Foundation -Director of Neo Global Development"
427,"Preston Pysh","The Pylon Holding Company - Founder"
428,"Preston Pysh","IRCM - Product Manager"
429,"Preston Pysh","The Investor's Podcast - Show Host & Co-Founder"
430,"Udi Wertheimer","Reckless Review - Co-Host"
431,"Raoul Pal","The Global Macro Investor - CEO & Co-Founder"
432,"Raoul Pal","Real Vision Group - CEO & Co-Founder"
433,"Loi Luu","Kyber Network -CEO & Co-Founder"
434,"Joe Vezzani","LunarCRUSH -CEO & Co-Founder"
435,"Mariana Gospodinova","Crypto.com -General Manager -Europe"
436,"Philip Salter","Genesis Mining -Head of Mining Operations"
437,"Ryan Selkis","Messari -CEO & Co-Founder"
438,"On Yavin","Online Performance - Founder"
439,"On Yavin","Exactive Marketing Ltd - Founder"
