"id","sector","token_name"
814,"Coin","BenjiRolls"
815,"Coin","Steps"
816,"Abandoned","Steps"
817,"PoW","TAGRcoin"
818,"PoS","TAGRcoin"
819,"Coin","TAGRcoin"
820,"Abandoned","TAGRcoin"
821,"PoW","Destiny"
822,"PoS","Destiny"
823,"Inactive","Destiny"
824,"Coin","Destiny"
825,"Abandoned","Destiny"
826,"PoW","BlazeCoin"
827,"Inactive","BlazeCoin"
828,"Coin","BlazeCoin"
829,"Abandoned","BlazeCoin"
830,"PoW","ImpulseCoin"
831,"Coin","ImpulseCoin"
832,"Abandoned","ImpulseCoin"
833,"PoW","Printerium"
834,"PoS","Printerium"
835,"Inactive","Printerium"
836,"Coin","Printerium"
837,"Abandoned","Printerium"
838,"PoW","Orlycoin"
839,"PoS","Orlycoin"
840,"Coin","Orlycoin"
841,"Abandoned","Orlycoin"
842,"PoW","BowsCoin"
843,"Coin","BowsCoin"
844,"Abandoned","BowsCoin"
845,"PoW","CRTCoin"
846,"PoS","CRTCoin"
847,"Coin","CRTCoin"
848,"Abandoned","CRTCoin"
849,"PoW","JobsCoin"
850,"PoS","JobsCoin"
851,"Coin","JobsCoin"
852,"Abandoned","JobsCoin"
853,"PoW","Save and Gain"
854,"PoS","Save and Gain"
855,"Coin","Save and Gain"
856,"Abandoned","Save and Gain"
857,"PoW","iBank"
858,"PoS","iBank"
859,"Coin","iBank"
860,"Abandoned","iBank"
861,"PoW","BiosCrypto"
862,"PoS","BiosCrypto"
863,"Gaming","BiosCrypto"
864,"Crowdfunding","BiosCrypto"
865,"Coin","BiosCrypto"
866,"PoW","Cthulhu Offerings"
867,"Coin","Cthulhu Offerings"
868,"PoW","Ebittree Coin"
869,"Entertainment","Ebittree Coin"
870,"Coin","Ebittree Coin"
871,"PoW","Antilitecoin"
872,"Coin","Antilitecoin"
873,"Abandoned","Antilitecoin"
874,"PoW","FORCE"
875,"PoS","FORCE"
876,"Inactive","FORCE"
877,"Coin","FORCE"
878,"PoW","MinexCoin"
879,"Coin","MinexCoin"
880,"PoS","Cabbage"
881,"Coin","Cabbage"
882,"Abandoned","Cabbage"
883,"Transportation","Ride My Car"
884,"PoS","Ride My Car"
885,"Coin","Ride My Car"
886,"PoW","SongCoin"
887,"Coin","SongCoin"
888,"PoW","BipCoin"
889,"Inactive","BipCoin"
890,"Coin","BipCoin"
891,"PoW","BitCoal"
892,"Coin","BitCoal"
893,"PoW","Pulse"
894,"PoS","Pulse"
895,"Coin","Pulse"
896,"PoS","GBCGoldCoin"
897,"Inactive","GBCGoldCoin"
898,"Coin","GBCGoldCoin"
899,"PoW","Artex Coin"
900,"Inactive","Artex Coin"
901,"Coin","Artex Coin"
902,"Abandoned","Artex Coin"
903,"PoW","Comet"
904,"Coin","Comet"
905,"PoW","CryptoEscudo"
